ÚSEK,CESTA,OKRES,T,O,M,S
87020,D1,Senec,8968,49958,140,59067
87021,D1,Bratislava II,17990,77187,284,95461
87022,D1,Bratislava II,19656,80026,294,99975
87023,D1,Bratislava II,18284,82817,305,101407
87024,D1,Bratislava II,12239,58640,216,71095
87025,D1,Bratislava II,13671,69430,257,83357
87026,D1,Bratislava V,15154,58639,215,74008
87028,D1,Bratislava II,11809,63728,236,75773
87030,D1,Senec,10834,47579,138,58551
87220,D1,Bratislava III,9524,54755,203,64482
87010,D2,Malacky,10541,12313,66,22920
87011,D2,Bratislava IV,13233,45896,219,59348
87012,D2,Bratislava IV,12646,52092,250,64989
87013,D2,Bratislava V,11379,22173,48,33600
87015,D2,Bratislava V,15688,78320,379,94387
87016,D2,Malacky,13002,19350,100,32452
87017,D2,Bratislava IV,11712,29645,145,41501
87018,D2,Bratislava V,9201,7567,33,16801
87140,D2,Malacky,13337,25597,128,39063
86210,D4,Senec,1025,12028,85,13138
87019,D4,Bratislava V,4786,12502,54,17341
87150,D4,Bratislava V,3010,11806,43,14860
87160,D4,Bratislava II,3533,16533,61,20127
87170,D4,Bratislava II,2622,14143,52,16817
87180,D4,Bratislava II,2105,9942,36,12084
87190,D4,Senec,1952,8649,32,10633
87200,D4,Pezinok,936,5289,19,6245
87210,D4,Pezinok,778,5307,19,6105
87810,D4,Malacky,1042,11173,52,12267
87820,D4,Bratislava IV,2158,5692,28,7878
86650,R7,Senec,2883,18286,67,21236
86760,R7,Bratislava II,5098,37487,137,42722
80080,2,Malacky,561,4810,65,5436
80091,2,Malacky,1537,16148,87,17772
80092,2,Malacky,720,8683,66,9469
80093,2,Malacky,964,9990,87,11041
80098,2,Malacky,958,8331,89,9378
80099,2,Malacky,781,7903,67,8751
80100,2,Malacky,793,5848,62,6703
80107,2,Malacky,760,5948,79,6787
80110,2,Malacky,911,7423,100,8434
80111,2,Malacky,1456,12329,144,13929
80113,2,Malacky,1585,14548,121,16254
80121,2,Bratislava I,3694,36293,408,40395
80127,2,Bratislava V,925,14501,120,15546
80129,2,Bratislava IV,1161,13835,127,15123
81580,2,Bratislava V,884,13958,135,14977
81581,2,Bratislava IV,1555,13796,150,15501
81583_01,2,Bratislava V,1466,16749,106,18321
81583_02,2,Bratislava V,1737,21870,152,23759
84081,2,Bratislava IV,1446,16589,96,18131
84112,2,Bratislava V,1098,22006,194,23298
84113,2,Bratislava V,1501,22314,151,23966
84861_01,2,Bratislava V,1821,25241,169,27231
84861_02,2,Bratislava V,1768,26564,205,28537
84871_01,2,Bratislava V,1745,24821,144,26710
84871_02,2,Bratislava V,1839,23305,154,25298
80130,61,Senec,1951,10943,185,13079
80131,61,Bratislava II,3946,30789,429,35164
80134,61,Bratislava V,472,10607,76,11155
80137,61,Senec,1884,13440,104,15428
80138,61,Bratislava II,2368,17062,244,19674
80139,61,Senec,2776,13444,206,16426
80140,61,Senec,1706,11140,106,12952
80141,61,Senec,1569,16648,148,18365
80142,61,Senec,1063,12299,105,13467
80143,61,Senec,1914,15157,117,17188
80144,61,Bratislava II,4617,29549,335,34501
80146,61,Senec,1963,11119,143,13225
80147,61,Senec,1343,10665,48,12056
80150,61,Senec,1262,10256,95,11613
80160,61,Senec,1013,6701,74,7788
80168,61,Senec,785,5193,73,6051
80924,61,Bratislava V,328,7379,80,7787
84161,61,Bratislava II,3382,47970,331,51683
84162,61,Bratislava II,1749,19677,183,21609
84163,61,Bratislava II,4028,40704,353,45085
84881,61,Bratislava II,3187,42375,346,45908
85451,61,Bratislava II,3553,46040,308,49901
80286,62,Senec,3137,12323,96,15556
80287,62,Senec,2066,8608,81,10755
80288,62,Senec,1767,6577,72,8416
81452,63,Bratislava II,3066,31813,218,35097
81455,63,Bratislava II,4069,33853,316,38238
81457,63,Bratislava II,1962,14233,168,16363
81460,63,Senec,1456,13273,175,14904
81478,63,Senec,877,8659,68,9604
86680,63,Bratislava II,1784,16650,168,18602
86740,127,Senec,1621,6706,41,8368
82791,143,Malacky,1014,4107,37,5158
82798,143,Malacky,848,3402,23,4273
82799,143,Malacky,871,3306,33,4210
81960,501,Malacky,625,5214,132,5971
81978,501,Malacky,374,2554,46,2974
81979,501,Malacky,340,2095,48,2483
81980,501,Malacky,694,3199,68,3961
81987,501,Malacky,606,2756,42,3404
81990,501,Malacky,643,2051,42,2736
80116,502,Pezinok,2125,15800,182,18107
81001,502,Bratislava III,1694,17390,154,19238
81002,502,Bratislava III,1512,24165,397,26074
81004,502,Pezinok,1609,17521,282,19412
81005,502,Bratislava III,789,17285,270,18344
81008,502,Bratislava III,1911,18894,379,21184
81009,502,Pezinok,1727,17428,284,19439
81010,502,Pezinok,1529,16269,141,17939
81011,502,Pezinok,1794,16722,202,18718
81012,502,Pezinok,1716,16889,171,18776
81020,502,Pezinok,1656,12449,147,14252
81021,502,Pezinok,1526,11528,100,13154
81022,502,Pezinok,968,6084,63,7115
81023,502,Pezinok,937,7965,84,8986
81030,502,Pezinok,694,4914,146,5754
81040,502,Pezinok,620,3052,63,3735
81101,502,Pezinok,1594,12537,151,14282
81096,503,Pezinok,1621,9532,87,11240
81100,503,Pezinok,1857,10883,110,12850
81106,503,Pezinok,691,5265,294,6250
81107,503,Pezinok,518,4061,208,4787
81110,503,Malacky,553,3426,126,4105
81120,503,Malacky,528,3318,42,3888
81121,503,Malacky,1693,11201,107,13001
81122,503,Malacky,1345,14997,78,16420
81619,503,Senec,1092,4866,49,6007
81627,503,Senec,2760,16247,119,19126
81629,503,Senec,1660,8190,71,9921
82770,503,Malacky,800,6458,96,7354
82771,503,Malacky,844,7795,67,8706
82778,503,Malacky,346,2590,23,2959
82786,503,Malacky,240,1308,23,1571
82020,504,Pezinok,471,3420,17,3908
82030,504,Pezinok,525,3940,19,4484
82038,504,Pezinok,741,5407,46,6194
82090,505,Bratislava IV,1001,9855,79,10935
82095,505,Malacky,316,3596,38,3950
85381,505,Bratislava IV,1327,14549,105,15981
82846,510,Senec,834,7586,57,8477
82847,510,Senec,785,6475,61,7321
82848,510,Senec,258,1546,27,1831
80122,572,Bratislava I,2284,26884,134,29302
80132,572,Bratislava II,2507,30491,404,33402
80133,572,Bratislava I,3444,30744,278,34466
80135,572,Bratislava III,2813,27386,317,30516
81582,572,Bratislava I,4062,29479,351,33892
82650,572,Senec,1059,11707,85,12851
82651,572,Bratislava II,725,10137,129,10991
82652,572,Bratislava II,1111,14537,168,15816
82653,572,Bratislava II,1190,12588,54,13832
82658,572,Bratislava II,951,8630,96,9677
82668,572,Senec,468,4699,19,5186
86610,572A,Bratislava II,427,3657,29,4113
86620,572A,Bratislava II,747,7193,54,7994
86730,572A,Senec,976,9442,58,10476
82801,590,Malacky,517,4181,45,4743
82808,590,Malacky,400,3415,24,3839
82809,590,Malacky,386,2601,29,3016
86001,1020,Bratislava V,461,4203,33,4697
86711,1030,Bratislava II,535,5200,35,5770
86720,1030,Senec,350,3344,33,3727
85700,1041,Senec,728,5669,69,6466
85701,1041,Senec,1198,11947,143,13288
85702,1041,Senec,754,6823,97,7674
82821,1043,Senec,892,8397,107,9396
82829,1043,Senec,399,2902,46,3347
86240,1044,Senec,181,955,23,1159
84050,1046,Pezinok,450,2888,35,3373
84051,1046,Pezinok,837,4259,50,5146
84056,1046,Pezinok,615,4477,29,5121
85703,1048,Senec,763,7852,220,8835
86380,1048,Senec,341,3479,33,3853
86390,1048,Senec,655,7077,77,7809
85481,1049,Senec,1571,10501,83,12155
86460,1049,Senec,467,3296,34,3797
86470,1049,Senec,260,2090,20,2370
85740,1053,Senec,472,4455,80,5007
85750,1053,Senec,447,3371,32,3850
86490,1054,Senec,320,1924,16,2260
86480,1055,Senec,334,3092,29,3455
86510,1056,Senec,394,3290,55,3739
86520,1056,Senec,393,3156,59,3608
86330,1057,Senec,264,2167,21,2452
86340,1058,Senec,251,2337,20,2608
86230,1059,Senec,264,2141,20,2425
86090,1062,Senec,740,8778,56,9574
86100,1062,Senec,224,1443,26,1693
86110,1062,Senec,487,3793,33,4313
86118,1062,Senec,416,1762,26,2204
86360,1065,Senec,426,3351,71,3848
86370,1065,Senec,526,2824,51,3401
82986,1067,Senec,712,4011,37,4760
83761,1082,Bratislava III,839,10523,145,11507
86220,1082,Pezinok,449,5749,90,6288
85720,1083,Pezinok,597,6441,72,7110
85730,1083,Pezinok,676,5403,70,6149
86350,1083,Senec,467,4677,59,5203
86088,1084,Pezinok,543,4256,57,4856
86200,1085,Pezinok,316,3535,39,3890
82810,1086,Pezinok,496,5152,61,5709
84960,1090,Pezinok,385,1965,28,2378
84970,1095,Pezinok,357,3187,77,3621
83530,1100,Malacky,465,2579,17,3061
85560,1103,Malacky,304,3412,22,3738
86060,1105,Malacky,707,3692,22,4421
82750,1106,Malacky,442,2746,46,3234
82751,1106,Malacky,565,4206,49,4820
82756,1106,Malacky,292,1939,20,2251
82757,1106,Malacky,194,960,25,1179
85570,1107,Malacky,506,2065,31,2602
85577,1107,Malacky,155,1096,24,1275
83800,1108,Malacky,145,1140,14,1299
83801,1108,Malacky,368,4819,33,5220
84860,1334,Senec,273,1497,12,1782
90428,R1,Žiar nad Hronom,6407,21581,71,28059
90430,R1,Zvolen,7612,23467,82,31161
90440,R1,Zvolen,8077,28964,196,37237
90446,R1,Zvolen,7858,26532,145,34535
90662,R1,Banská Bystrica,4552,26949,119,31620
90663,R1,Banská Bystrica,4742,28200,118,33060
90664,R1,Banská Bystrica,3325,19593,91,23009
90665,R1,Banská Bystrica,2100,11961,59,14119
90836,R1,Žarnovica,5325,20985,109,26419
90837,R1,Žarnovica,4370,17548,61,21979
90858,R1,Banská Bystrica,4649,23556,117,28321
90859,R1,Zvolen,5818,28053,133,34004
90868,R1,Banská Bystrica,5057,26974,139,32170
90871,R1,Banská Bystrica,7964,44898,156,53018
90881,R1,Banská Bystrica,2400,13223,69,15692
90882,R1,Banská Bystrica,3234,17246,94,20574
92170,R1,Zvolen,3156,15309,64,18529
95387,R1,Zvolen,4962,23519,110,28591
95590,R1,Zvolen,3270,13104,63,16437
95720,R1,Žarnovica,4720,17367,49,22136
95830,R1,Žiar nad Hronom,4451,18009,58,22518
95860,R1,Žiar nad Hronom,4645,18938,56,23639
95960,R1,Žiar nad Hronom,4944,18271,57,23272
90579,R2,Rimavská Sobota,2267,5681,26,7974
95580,R2,Zvolen,5248,9810,71,15129
95760,R2,Rimavská Sobota,1596,3796,29,5421
95770,R2,Revúca,1456,3019,20,4495
95950,R2,Žiar nad Hronom,1174,3495,19,4688
96040,R2,Zvolen,3478,9911,47,13436
96050,R2,Detva,3118,9121,23,12262
96060,R2,Detva,2939,7371,42,10351
92140,9,Žiar nad Hronom,1779,5543,39,7361
92150,9,Žiar nad Hronom,673,5031,47,5751
92151,9,Žiar nad Hronom,1635,12935,69,14639
92152,9,Žiar nad Hronom,1782,15987,87,17856
92153,9,Žiar nad Hronom,1020,12673,113,13806
91510,14,Banská Bystrica,578,2270,50,2898
91520,14,Banská Bystrica,722,2984,72,3778
90452,16,Zvolen,6647,27786,146,34579
90456,16,Zvolen,5618,13425,66,19109
90460,16,Zvolen,4024,12956,89,17069
90461,16,Zvolen,4803,19564,130,24497
90470,16,Zvolen,4246,13994,48,18288
90480,16,Zvolen,989,5221,47,6257
90490,16,Detva,875,4237,42,5154
90491,16,Detva,1398,8511,66,9975
90492,16,Detva,828,4503,95,5426
90500,16,Detva,858,4886,42,5786
90509,16,Detva,3529,7990,68,11587
90510,16,Lučenec,3167,7665,37,10869
90520,16,Lučenec,3061,7233,37,10331
90527,16,Lučenec,2834,7631,37,10502
90530,16,Lučenec,2855,8801,37,11693
90536,16,Lučenec,3093,9685,48,12826
90540,16,Lučenec,2484,6135,27,8646
90550,16,Lučenec,2279,8347,37,10663
90560,16,Lučenec,2110,5303,18,7431
90570,16,Rimavská Sobota,170,986,11,1167
90580,16,Rimavská Sobota,2295,6334,33,8662
90590,16,Rimavská Sobota,2246,6562,29,8837
90596,16,Rimavská Sobota,2134,7182,38,9354
90597,16,Rimavská Sobota,1854,6120,48,8022
90600,16,Rimavská Sobota,1855,5841,28,7724
90610,16,Rimavská Sobota,1723,4747,26,6496
90620,16,Rimavská Sobota,1824,4441,17,6282
90630,16,Revúca,217,859,5,1081
90640,16,Revúca,368,2173,18,2559
90641,16,Revúca,503,2640,29,3172
90642,16,Revúca,754,3914,35,4703
90650,16,Revúca,408,1727,23,2158
96000,16,Rimavská Sobota,150,667,3,820
96010,16,Rimavská Sobota,145,918,13,1076
96130,16,Zvolen,988,5103,55,6146
96140,16,Detva,791,3562,47,4400
91620,51,Krupina,347,1498,13,1858
91640,51,Banská Štiavnica,617,4217,70,4904
91650,51,Banská Štiavnica,437,3105,51,3593
91669,51,Zvolen,420,2840,41,3301
92510,51,Banská Štiavnica,313,2202,35,2550
92511,51,Banská Štiavnica,625,4047,62,4734
92512,51,Banská Štiavnica,1037,8853,112,10002
92513,51,Banská Štiavnica,744,5730,83,6557
92520,51,Banská Štiavnica,161,958,17,1136
92538,51,Banská Štiavnica,102,503,17,622
92540,51,Krupina,97,537,13,647
96020,51,Krupina,1908,4112,28,6048
90660,59,Banská Bystrica,2652,11467,84,14203
90670,59,Banská Bystrica,1936,7781,54,9771
90677,59,Banská Bystrica,1995,6856,62,8913
90680,59,Banská Bystrica,1778,6481,51,8310
90370,65,Žiar nad Hronom,698,3114,46,3858
90380,65,Žiar nad Hronom,677,3589,71,4337
90390,65,Žiar nad Hronom,1090,5778,58,6926
90391,65,Žiar nad Hronom,1598,8880,96,10574
90810,65,Žarnovica,354,2042,42,2438
90821,65,Žarnovica,394,2905,73,3372
90822,65,Žarnovica,284,1074,10,1368
91331,65,Žiar nad Hronom,2233,4689,34,6956
91332,65,Žiar nad Hronom,2556,5726,75,8357
91338,65,Žiar nad Hronom,2159,4649,47,6855
91340,65,Žiar nad Hronom,2591,6239,48,8878
91350,65,Žiar nad Hronom,2631,6972,50,9653
92160,65,Žiar nad Hronom,1244,6167,65,7476
90872,66,Banská Bystrica,3358,28849,114,32321
90873,66,Banská Bystrica,2739,24708,144,27591
90874,66,Banská Bystrica,1486,11251,95,12832
90880,66,Banská Bystrica,3073,18269,90,21432
90897,66,Banská Bystrica,1945,13006,57,15008
90900,66,Banská Bystrica,1769,11665,61,13495
90910,66,Brezno,1751,10219,84,12054
90920,66,Brezno,1683,10781,51,12515
90930,66,Brezno,2049,13962,121,16132
90937,66,Brezno,1461,9306,75,10842
90940,66,Brezno,1797,11717,62,13576
90941,66,Brezno,1201,7709,38,8948
90942,66,Brezno,1257,6283,65,7605
90950,66,Brezno,1309,6372,39,7720
90960,66,Brezno,636,3173,41,3850
90967,66,Brezno,805,3959,50,4814
90970,66,Brezno,384,2414,40,2838
90980,66,Brezno,269,1152,21,1442
90990,66,Brezno,370,2001,79,2450
91530,66,Zvolen,2808,7303,44,10155
91531,66,Zvolen,2692,10376,40,13108
91550,66,Zvolen,2467,6967,43,9477
91560,66,Krupina,1968,3989,32,5989
91570,66,Krupina,1959,4081,41,6081
91571,66,Krupina,2479,7528,59,10066
91572,66,Krupina,2371,8396,61,10828
91573,66,Krupina,2331,7418,71,9820
91580,66,Krupina,1863,3293,61,5217
91590,66,Krupina,1429,2147,23,3599
91600,66,Krupina,1450,1919,40,3409
91619,66,Krupina,1598,2495,41,4134
95376,66,Zvolen,2849,10900,60,13809
95377,66,Zvolen,3312,14978,64,18354
95380,66,Zvolen,3140,13013,79,16232
90946,66C,Brezno,842,4290,29,5161
92070,67,Rimavská Sobota,637,2028,21,2686
92071,67,Revúca,630,3865,19,4514
92080,67,Rimavská Sobota,692,1790,11,2493
92089,67,Rimavská Sobota,594,785,14,1393
90860,69,Zvolen,1083,9262,107,10452
90866,69,Zvolen,780,4540,65,5385
90867,69,Banská Bystrica,879,6583,100,7562
90869,69,Banská Bystrica,708,4363,105,5176
92176,69,Zvolen,762,4673,32,5467
92177,69,Zvolen,627,4208,50,4885
95610,69,Banská Bystrica,850,7763,74,8687
91910,71,Lučenec,960,4418,33,5411
91916,71,Lučenec,895,2347,12,3254
91917,71,Lučenec,1116,4834,26,5976
91920,71,Lučenec,661,2750,32,3443
91922,71,Lučenec,700,3420,31,4151
91926,71,Lučenec,465,1414,9,1888
91927,71,Lučenec,558,2003,14,2575
91930,71,Lučenec,515,1345,9,1869
92676,71,Lučenec,878,4347,54,5279
91020,72,Brezno,742,4535,28,5305
91038,72,Brezno,654,4253,63,4970
92000,72,Rimavská Sobota,489,2896,42,3427
92010,72,Rimavská Sobota,461,2639,42,3142
92011,72,Rimavská Sobota,580,4413,36,5029
92020,72,Rimavská Sobota,598,2950,27,3575
92021,72,Rimavská Sobota,626,5539,60,6225
92030,72,Rimavská Sobota,557,3229,28,3814
92040,72,Rimavská Sobota,654,3852,32,4538
92046,72,Rimavská Sobota,581,3263,14,3858
92058,72,Brezno,464,2173,41,2678
92059,72,Rimavská Sobota,253,1610,29,1892
92060,72,Brezno,508,2665,29,3202
92061,72,Brezno,648,5093,14,5755
92840,72,Brezno,631,5154,48,5833
92850,72,Brezno,427,4080,29,4536
91780,75,Veľký Krtíš,573,2772,24,3369
91860,75,Veľký Krtíš,671,3907,19,4597
91861,75,Veľký Krtíš,847,7810,79,8736
91866,75,Veľký Krtíš,710,5237,41,5988
91867,75,Veľký Krtíš,703,3586,19,4308
91902,75,Lučenec,1346,9976,58,11380
92308,75,Veľký Krtíš,214,889,10,1113
92310,75,Veľký Krtíš,193,910,17,1120
92320,75,Veľký Krtíš,451,2570,35,3056
92330,75,Veľký Krtíš,596,5138,72,5806
92331,75,Veľký Krtíš,627,6270,28,6925
92340,75,Veľký Krtíš,489,2798,29,3316
92350,75,Lučenec,405,2179,35,2619
92360,75,Lučenec,585,5240,54,5879
92361,75,Lučenec,711,9331,58,10100
92362,75,Lučenec,967,12841,74,13882
93800,76,Žarnovica,998,4201,66,5265
93809,76,Žarnovica,1004,3594,36,4634
90371,428,Žarnovica,1012,6045,29,7086
90831,428,Žarnovica,914,6317,60,7291
90349,512,Žarnovica,238,1426,21,1685
90350,512,Žarnovica,313,1715,16,2044
90360,512,Žarnovica,462,3647,50,4159
90361,512,Žarnovica,720,4969,49,5738
91630,524,Banská Štiavnica,261,2528,33,2822
91636,524,Banská Štiavnica,209,2249,41,2499
91638,524,Banská Štiavnica,113,849,47,1009
01849,526,Revúca,55,192,10,257
01850,526,Revúca,54,241,16,311
01856,526,Revúca,466,2328,34,2828
91710,526,Detva,1137,6277,109,7523
91711,526,Detva,1189,6020,70,7279
91940,526,Detva,357,1808,18,2183
91941,526,Detva,297,2497,28,2822
91949,526,Detva,206,1054,21,1281
91950,526,Poltár,250,1723,17,1990
91960,526,Poltár,108,822,23,953
91970,526,Rimavská Sobota,252,2120,27,2399
91971,526,Rimavská Sobota,265,2066,31,2362
91980,526,Rimavská Sobota,248,961,34,1243
91988,526,Rimavská Sobota,67,319,10,396
92550,526,Krupina,141,488,7,636
92557,526,Krupina,422,2913,18,3353
92560,526,Krupina,171,691,15,877
92580,526,Detva,149,632,17,798
91799,527,Veľký Krtíš,420,1734,22,2176
91800,527,Veľký Krtíš,318,967,10,1295
91810,527,Veľký Krtíš,330,1472,30,1832
91820,527,Veľký Krtíš,273,1383,10,1666
91830,527,Veľký Krtíš,402,2682,18,3102
91840,527,Veľký Krtíš,512,3019,24,3555
91850,527,Veľký Krtíš,471,3860,43,4374
91851,527,Veľký Krtíš,429,5501,41,5971
91856,527,Veľký Krtíš,524,4527,23,5074
92590,527,Zvolen,304,2215,20,2539
92597,527,Zvolen,201,1162,8,1371
92600,527,Krupina,126,833,11,970
92618,527,Veľký Krtíš,255,1237,26,1518
92619,527,Krupina,284,1314,12,1610
92620,527,Veľký Krtíš,280,1359,7,1646
92630,527,Veľký Krtíš,201,1144,13,1358
92640,527,Veľký Krtíš,634,3739,20,4393
92641,527,Veľký Krtíš,648,4821,55,5524
91826,527A,Veľký Krtíš,257,1834,36,2127
91680,529,Brezno,604,3490,11,4105
91681,529,Brezno,1188,5277,65,6530
91682,529,Brezno,1542,12271,43,13856
91683,529,Brezno,1440,9617,26,11083
91690,529,Brezno,226,1026,22,1274
91691,529,Brezno,302,1251,29,1582
91701,529,Detva,733,3743,43,4519
91708,529,Detva,290,815,24,1129
01908,531,Revúca,203,952,34,1189
01919,531,Revúca,305,1988,22,2315
91999,531,Brezno,202,1268,28,1498
92008,531,Rimavská Sobota,308,2295,43,2646
92650,531,Rimavská Sobota,607,6001,33,6641
92651,531,Rimavská Sobota,860,6916,42,7818
92652,531,Rimavská Sobota,1002,11703,87,12792
92653,531,Rimavská Sobota,894,10271,46,11211
02249,532,Revúca,195,560,8,763
02250,532,Revúca,266,1446,13,1725
02257,532,Revúca,185,615,19,819
02260,532,Revúca,492,3500,40,4032
02267,532,Revúca,467,2938,15,3420
02270,532,Revúca,501,4555,34,5090
02272,532,Revúca,386,2967,28,3381
02273,532,Revúca,518,6197,46,6761
02280,532,Revúca,395,2407,37,2839
92660,532,Revúca,282,780,15,1077
92670,571,Lučenec,361,2012,12,2385
92671,571,Lučenec,617,4060,42,4719
92672,571,Lučenec,751,4457,50,5258
92673,571,Lučenec,527,3374,28,3929
92680,571,Lučenec,325,1420,11,1756
92698,571,Rimavská Sobota,174,888,3,1065
92700,571,Rimavská Sobota,203,934,10,1147
92710,571,Rimavská Sobota,224,1489,19,1732
92720,571,Rimavská Sobota,578,3043,17,3638
92730,571,Rimavská Sobota,336,1828,12,2176
92740,571,Rimavská Sobota,371,1721,18,2110
92750,571,Rimavská Sobota,269,1577,10,1856
92760,571,Rimavská Sobota,206,1251,10,1467
92820,578,Banská Bystrica,259,2843,28,3130
92821,578,Banská Bystrica,518,4428,24,4970
92822,578,Žiar nad Hronom,78,762,16,856
92827,578,Žiar nad Hronom,52,406,3,461
92828,578,Banská Bystrica,127,1275,10,1412
92829,578,Žiar nad Hronom,33,273,10,316
94740,584,Brezno,129,1111,14,1254
91870,585,Veľký Krtíš,82,500,5,587
91880,585,Veľký Krtíš,156,469,8,633
91890,585,Lučenec,228,1294,14,1536
91900,585,Lučenec,515,4724,32,5271
91901,585,Lučenec,982,6090,48,7120
91903,585,Lučenec,1377,12671,60,14108
91907,585,Lučenec,294,1867,10,2171
91720,591,Detva,324,1928,12,2264
91730,591,Detva,226,755,9,990
91740,591,Detva,210,724,12,946
91759,591,Veľký Krtíš,140,590,12,742
91760,591,Veľký Krtíš,144,578,8,730
91770,591,Veľký Krtíš,212,830,14,1056
91776,591,Veľký Krtíš,210,1040,20,1270
92830,591,Banská Bystrica,368,3583,37,3988
92831,591,Banská Bystrica,217,2044,26,2287
92836,591,Banská Bystrica,293,3231,34,3558
92837,591,Banská Bystrica,301,2592,54,2947
92838,591,Banská Bystrica,244,1788,30,2062
92839,591,Zvolen,217,1647,30,1894
95120,591,Zvolen,160,1003,14,1177
93040,594,Lučenec,239,1988,15,2242
93048,594,Lučenec,53,285,4,342
93080,595,Poltár,163,1246,16,1425
93082,595,Poltár,231,1725,18,1974
93090,595,Poltár,302,1897,17,2216
93100,595,Poltár,458,4108,19,4585
93106,595,Poltár,398,3287,18,3703
93730,595,Poltár,249,1907,13,2169
95221,595,Poltár,289,3412,21,3722
94560,1550,Krupina,327,1395,22,1744
94860,2373,Brezno,189,1241,11,1441
93850,2375,Brezno,276,1492,16,1784
91010,2378,Brezno,411,1489,34,1934
93591,2395,Brezno,370,2518,16,2904
95601,2396,Brezno,707,7612,35,8354
95690,2413,Banská Bystrica,133,1102,18,1253
93580,2415,Banská Bystrica,343,2330,23,2696
93581,2415,Banská Bystrica,1598,19692,82,21372
93582,2415,Banská Bystrica,788,4913,42,5743
93820,2418,Banská Bystrica,1185,9932,51,11168
93826,2418,Banská Bystrica,139,1297,10,1446
93827,2418,Banská Bystrica,520,4034,22,4576
94850,2419,Banská Bystrica,830,8279,62,9171
94857,2419,Banská Bystrica,136,567,3,706
94440,2420,Banská Bystrica,147,1012,11,1170
94446,2420,Banská Bystrica,119,881,25,1025
94447,2420,Banská Bystrica,226,1483,28,1737
94450,2421,Banská Bystrica,29,246,4,279
90890,2427,Banská Bystrica,565,3381,16,3962
95310,2428,Banská Bystrica,169,1539,8,1716
95700,2432,Banská Bystrica,718,8442,65,9225
90447,2440,Zvolen,979,9256,99,10334
93741,2442,Zvolen,343,2979,11,3333
94310,2449,Zvolen,597,6853,55,7505
95160,2450,Zvolen,226,1820,25,2071
95168,2450,Zvolen,128,1048,25,1201
95169,2450,Banská Bystrica,92,687,55,834
93351,2452,Zvolen,1770,9729,81,11580
93352,2452,Zvolen,1260,7557,47,8864
93353,2452,Zvolen,835,4699,26,5560
95371,2452,Zvolen,1105,5877,52,7034
90453,2453,Zvolen,1900,19411,110,21421
93359,2454,Zvolen,319,2488,51,2858
93350,2455,Zvolen,257,1649,49,1955
93360,2455,Detva,110,975,19,1104
93361,2455,Detva,141,1153,22,1316
93362,2455,Detva,776,4948,34,5758
90450,2460,Zvolen,838,11857,53,12748
90840,2460,Zvolen,484,5183,40,5707
90846,2460,Zvolen,865,9213,66,10144
93640,2483,Žiar nad Hronom,166,1562,9,1737
93641,2483,Žiar nad Hronom,357,3982,19,4358
93451,2484,Žiar nad Hronom,453,4033,38,4524
93456,2484,Žiar nad Hronom,355,3216,26,3597
93400,2493,Žiar nad Hronom,196,1663,28,1887
93410,2493,Banská Štiavnica,229,1747,48,2024
94370,2495,Žiar nad Hronom,311,2152,27,2490
93420,2498,Žiar nad Hronom,254,1607,29,1890
93426,2498,Banská Štiavnica,122,937,44,1103
93427,2498,Žiar nad Hronom,322,2463,18,2803
93460,2511,Žarnovica,67,643,16,726
93466,2511,Žarnovica,220,1180,50,1450
93467,2511,Žarnovica,164,984,97,1245
93540,2512,Žarnovica,170,1066,10,1246
93541,2512,Žarnovica,727,5546,45,6318
93542,2512,Žarnovica,280,2553,24,2857
93550,2513,Žarnovica,103,607,13,723
93551,2513,Žarnovica,260,1721,18,1999
95740,2515,Žarnovica,422,3377,51,3850
95741,2515,Žarnovica,659,5111,43,5813
93380,2530,Žarnovica,349,2698,39,3086
93381,2530,Žarnovica,559,4366,109,5034
93390,2530,Žarnovica,188,1177,27,1392
93680,2536,Banská Štiavnica,89,880,13,982
93681,2536,Banská Štiavnica,191,2139,33,2363
93430,2538,Banská Štiavnica,158,1236,30,1424
95140,2560,Krupina,264,2406,16,2686
95400,2565,Krupina,79,589,4,672
94120,2566,Veľký Krtíš,95,508,6,609
95200,2585,Veľký Krtíš,35,132,2,169
94620,2593,Veľký Krtíš,157,935,6,1098
94790,2593,Veľký Krtíš,62,618,4,684
94796,2593,Veľký Krtíš,116,627,4,747
94150,2601,Veľký Krtíš,49,433,5,487
91852,2602,Veľký Krtíš,188,1499,12,1699
93020,2602,Veľký Krtíš,170,1078,8,1256
93026,2602,Veľký Krtíš,126,913,2,1041
96150,2602,Veľký Krtíš,70,483,17,570
93150,2605,Veľký Krtíš,145,901,12,1058
93156,2605,Veľký Krtíš,164,1395,13,1572
95920,2616,Veľký Krtíš,11,129,11,151
93030,2632,Lučenec,291,1654,20,1965
93037,2632,Lučenec,91,372,15,478
94940,2633,Lučenec,149,747,8,904
