ID_mosta,Zemepisná_dĺžka,Zemepisná_šírka,Počiatočný_uzol,Koncový_uzol,úsek_ID,StartNode_Latitude,StartNode_Longitude,EndNode_Latitude,EndNode_Longitude,Hexagon_Coordinates,car_route_distance,car_route_time,car_route_coordinates,car_alt_route_distance,car_alt_route_time,car_alt_route_coordinates,truck_route_distance,truck_route_time,truck_route_coordinates,truck_alt_route_distance,truck_alt_route_time,truck_alt_route_coordinates
M4235,18.410800579,47.830523925,4542A03000,4542A02700,367496,47.8294242,18.40884268,47.83076956,18.41129934,"[(47.830523925, 18.411068203225536), (47.83067951777133, 18.410934391112768), (47.83067951777133, 18.410666766887232), (47.830523925, 18.410532954774464), (47.83036833222867, 18.410666766887232), (47.83036833222867, 18.410934391112768), (47.830523925, 18.411068203225536)]",,,,,,,,,,,,
M5645,18.449808512,47.820116042,4544A01200,4544A00600,7071,47.82500973,18.42670459,47.81980796,18.45179418,"[(47.820116042, 18.450076082569034), (47.82027163477133, 18.449942297284515), (47.82027163477133, 18.449674726715486), (47.820116042, 18.449540941430968), (47.819960449228674, 18.449674726715486), (47.819960449228674, 18.449942297284515), (47.820116042, 18.450076082569034)]",,,,,,,,,,,,
M890,18.542906785,47.817904237,4544A07000,4544A07100,418293,47.81679831,18.53873718,47.81807371,18.5437691,"[(47.817904237, 18.543174344170264), (47.81805982977133, 18.54304056458513), (47.81805982977133, 18.54277300541487), (47.817904237, 18.542639225829735), (47.81774864422867, 18.54277300541487), (47.81774864422867, 18.54304056458513), (47.817904237, 18.543174344170264)]",,,,,,,,,,,,
M4278,18.597423886,47.792286948,4544A07500,4544A01400,418298,47.79227662,18.59747244,47.79234273,18.5977613,"[(47.792286948, 18.59769131324866), (47.792442540771326, 18.59755759962433), (47.792442540771326, 18.597290172375672), (47.792286948, 18.597156458751343), (47.79213135522867, 18.597290172375672), (47.79213135522867, 18.59755759962433), (47.792286948, 18.59769131324866)]",,,,,,,,,,,,
M7257,18.424009423,47.838217868,4542A01800,4542B00400,367483,47.83671464,18.42181812,47.85112624,18.44279821,"[(47.838217868, 18.424277086910184), (47.83837346077133, 18.424143254955094), (47.83837346077133, 18.423875591044908), (47.838217868, 18.42374175908982), (47.83806227522867, 18.423875591044908), (47.83806227522867, 18.424143254955094), (47.838217868, 18.424277086910184)]",,,,,,,,,,,,
M1849,18.431045105,47.843016679,4542A01800,4542B00400,367483,47.83671464,18.42181812,47.85112624,18.44279821,"[(47.843016679, 18.43131279367041), (47.84317227177133, 18.431178949335205), (47.84317227177133, 18.430911260664793), (47.843016679, 18.430777416329587), (47.84286108622867, 18.430911260664793), (47.84286108622867, 18.431178949335205), (47.843016679, 18.43131279367041)]",,,,,,,,,,,,
M378,18.296284606,47.914405447,4541A01800,4541A02700,9060,47.91320689,18.29265877,47.91648018,18.3055103,"[(47.914405447, 18.296552663776108), (47.91456103977133, 18.296418634888056), (47.91456103977133, 18.296150577111945), (47.914405447, 18.296016548223893), (47.91424985422867, 18.296150577111945), (47.91424985422867, 18.296418634888056), (47.914405447, 18.296552663776108)]",,,,,,,,,,,,
M5775,18.198639552,47.889877454,4541A04100,4541A57800,1704,47.88917773,18.20017135,47.89081121,18.19624044,"[(47.889877454, 18.198907482795892), (47.89003304677133, 18.198773517397946), (47.89003304677133, 18.198505586602053), (47.889877454, 18.198371621204107), (47.88972186122867, 18.198505586602053), (47.88972186122867, 18.198773517397946), (47.889877454, 18.198907482795892)]",,,,,,,,,,,,
M2084,18.186304291,47.894429008,4541A58000,4541A13000,1091991,47.89270876,18.19173003,47.89959822,18.15381873,"[(47.894429008, 18.18657224534626), (47.89458460077133, 18.18643826817313), (47.89458460077133, 18.186170313826867), (47.894429008, 18.18603633665374), (47.894273415228675, 18.186170313826867), (47.894273415228675, 18.18643826817313), (47.894429008, 18.18657224534626)]",,,,,,,,,,,,
M1325,18.306089914,48.02185136,4523A32400,4523A32602,418684,48.01996407,18.30319768,48.02320976,18.30658192,"[(48.02185136, 18.30635853002074), (48.02200695277133, 18.30622422201037), (48.02200695277133, 18.30595560598963), (48.02185136, 18.30582129797926), (48.02169576722867, 18.30595560598963), (48.02169576722867, 18.30622422201037), (48.02185136, 18.30635853002074)]",,,,,,,,,,,,
M7055,18.339077305,48.101769114,4524A06502,4524A06700,1318763,48.10157374,18.33836586,48.10209825,18.34024723,"[(48.101769114, 18.33934633836527), (48.10192470677133, 18.339211821682635), (48.10192470677133, 18.338942788317365), (48.101769114, 18.33880827163473), (48.10161352122867, 18.338942788317365), (48.10161352122867, 18.339211821682635), (48.101769114, 18.33934633836527)]",,,,,,,,,,,,
M320,18.286091019,48.2147704,4521A08100,4521A23900,1613,48.21491104,18.28494873,48.21410818,18.29225519,"[(48.2147704, 18.286360645592957), (48.21492599277133, 18.28622583229648), (48.21492599277133, 18.28595620570352), (48.2147704, 18.285821392407044), (48.21461480722867, 18.28595620570352), (48.21461480722867, 18.28622583229648), (48.2147704, 18.286360645592957)]",,,,,,,,,,,,
