Bridge_ID,District,Latitude,Longitude,Material,Bridge_Name,Bridge_Length,Year_of_Construction,Bridge_Width,Load_Capacity,Road_Class,Type_of_Structure,Bridge_Purpose,Administrator,Road_Number,Region,num_2012,num_2013,num_2014,num_2015,num_2016,num_2017,num_2018,num_2019,num_2020,num_2021,num_2022,num_2023
M5727,Veľký Krtíš,48.271644883,19.453896991,monolitický železobetón,75_061 Most cez bezmenný potok pri obci Slovenské Kľačany,3.0,1938.0,7.85,33.0,cesta I. triedy,dosková,Záplavové územie,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,4,5,5,5,5
M7052,Veľký Krtíš,48.275540024,19.473943872,monolitický prostý betón,"75_062 Most cez Chrtiansky potok, k.ú. Chrťany",4.0,1938.0,7.4,50.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,3,6,6,6,6
M2457,Veľký Krtíš,48.287840392,19.485595929,monolitický železobetón,"75_063 Most cez potok Pravica, k.ú. Závada",7.5,1949.0,8.8,26.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,4,6,6,6,6
M2852,Veľký Krtíš,48.289847023,19.487722655,monolitický železobetón,75_064 Most cez potok Branica v obci Závada,4.6,1938.0,8.3,12.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,3,5,5,5,6
M6781,Lučenec,48.298052864,19.507791461,monolitický železobetón,75_065 Most cez potok Riečka pred obcou Ľuboreč,7.15,1950.0,9.0,24.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,3,5,5,5,5
M4829,Lučenec,48.307618521,19.5166118,monolitický železobetón,75_066 Most cez potok Ľuboriečka v obci Ľuboreč,12.15,1936.0,7.79,8.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,4,6,6,6,6
M5674,Lučenec,48.321725671,19.52766775,monolitický prostý betón,75_067 Most cez Velický potok za obcou Ľuboreč,4.8,1932.0,7.3,50.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,3,5,5,5,5
M6537,Lučenec,48.343274278,19.558828921,monolitický železobetón,75_069 Most cez potok Maškovský pri obci Mašková,6.0,1950.0,9.0,24.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,4,6,6,6,6
M2972,Lučenec,48.337406266,19.618125686,monolitický železobetón,75_070 Most cez Tuhovský potok pri obci Ľadovo,8.0,1951.0,9.05,32.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,3,5,5,5,5
M4698,Lučenec,48.332719267,19.672630854,prefabrikovaný predpätý betón,75_071 Most nad železničnou traťou v meste Lučenec,251.06,1982.0,15.5,23.0,cesta I. triedy,trámová,Železnica,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,3,5,6,6,6
