Time,P_3_pv0,P_3_pv1,P_3_pv3,T_27_pv1,T_27_pv2
2025-03-24 03:00:00+00:00,1983.81439225,194.394508375,4.7650218007500005,6.640625,6.90625
2025-03-24 04:00:00+00:00,1983.935669,194.375068675,4.77528071375,6.90625,7.125
2025-03-25 00:00:00+00:00,2021.27719125,198.44202425,6.57303357125,9.3125,9.546875
2025-03-25 01:00:00+00:00,2021.0162352500001,198.4126854,6.563263178,9.40625,9.53125
2025-03-25 02:00:00+00:00,2019.61547875,198.261089325,6.492427826,9.25,9.4375
2025-03-25 03:00:00+00:00,2017.66192625,198.0579796,6.43624806375,9.171875,9.359375
2025-03-25 04:00:00+00:00,2014.56512475,197.715374025,6.24572539325,8.828125,25.09375
2025-03-26 00:00:00+00:00,2030.431427,199.25899885,6.108939886,7.515625,7.734375
2025-03-26 01:00:00+00:00,2025.66601575,198.717235575,5.82804107675,7.34375,7.671875
2025-03-26 02:00:00+00:00,2021.74411025,198.311798075,5.725451946,7.265625,7.53125
2025-03-26 03:00:00+00:00,2019.624634,198.03738785000002,5.54225707075,7.03125,7.3125
2025-03-26 04:00:00+00:00,2015.6019592500002,197.624111175,5.32242321975,6.53125,6.859375
2025-03-27 00:00:00+00:00,2038.8155215,200.193454725,6.69272089,8.59375,8.84375
2025-03-27 01:00:00+00:00,2036.54040525,199.909626,6.43869066225,8.203125,8.453125
2025-03-27 02:00:00+00:00,2034.72421275,199.693313575,6.24572539325,8.125,8.359375
2025-03-27 03:00:00+00:00,2034.19543475,199.6238098,6.165119648,7.953125,8.203125
2025-03-27 04:00:00+00:00,2031.8299255000002,199.371223475,6.067415714,7.921875,8.140625
2025-03-30 00:00:00+00:00,2050.4874875,201.35663225,6.79531002025,9.15625,9.359375
2025-03-30 01:00:00+00:00,2049.8534544999998,201.28800965,6.76599884,9.0625,9.28125
2025-03-30 02:00:00+00:00,2049.798523,201.26594925,6.690278291749999,9.0625,9.265625
2025-03-30 03:00:00+00:00,2049.982727,201.281955725,6.67806530025,9.015625,9.234375
2025-03-30 04:00:00+00:00,2050.1121215,201.29354095,6.668294907,8.9375,9.1875
2025-03-31 00:00:00+00:00,2063.8338625,202.3918953,5.1441135405,7.390625,7.515625
2025-03-31 01:00:00+00:00,2061.31274425,202.020271275,4.909623742,7.0625,7.1875
2025-03-31 02:00:00+00:00,2057.894287,201.64084245,4.7093305585,6.734375,6.875
2025-03-31 03:00:00+00:00,2053.69067375,201.230823525,4.714215755,6.421875,6.609375
2025-03-31 04:00:00+00:00,2051.84252925,201.020709975,4.5771859885,6.015625,6.25
2025-04-01 00:00:00+00:00,2072.2682495,203.185291275,5.34440660475,7.5625,7.6875
2025-04-01 01:00:00+00:00,2073.02594,203.290489225,5.488519907,7.703125,7.828125
2025-04-01 02:00:00+00:00,2075.579224,203.55566025000002,5.559355259,7.921875,8.0625
2025-04-01 03:00:00+00:00,2073.9849245,203.4072876,5.593551636,7.921875,8.09375
2025-04-01 04:00:00+00:00,2074.00097675,203.41199875,5.5837812425,7.828125,8.0
2025-04-02 00:00:00+00:00,2084.68865975,204.54258347500001,5.9892525675,7.578125,7.875
2025-04-02 01:00:00+00:00,2080.80114725,204.13773344999998,5.864680052000001,7.375,7.703125
2025-04-02 02:00:00+00:00,2078.57403575,203.87869262499999,5.69858336425,7.171875,7.484375
2025-04-02 03:00:00+00:00,2078.666748,203.8864212,5.68148517575,7.234375,7.53125
2025-04-02 04:00:00+00:00,2080.0983887499997,204.02708055,5.691255569,7.40625,7.703125
2025-04-03 00:00:00+00:00,2108.70562725,207.175979625,7.371763706,9.609375,9.828125
2025-04-03 01:00:00+00:00,2099.977051,206.2459488,6.9369808435,8.640625,8.96875
2025-04-03 02:00:00+00:00,2094.1885985,205.5784569,6.47532963775,7.609375,8.125
2025-04-03 03:00:00+00:00,2086.5151367500002,204.6774559,5.78895950325,6.3125,7.015625
